Date,G_AC_Vertical_Speed,G_ACC_Lateral,G_ACC_Normal
6/6/2018 7:46:00 PM,16,0.0,0.0
6/6/2018 7:46:01 PM,16,0.0,0.0
6/6/2018 7:46:02 PM,16,0.0,0.0
6/6/2018 7:46:03 PM,0,0.0,0.0
6/6/2018 7:46:04 PM,0,0.0,0.0
6/6/2018 7:46:05 PM,0,0.0,0.0
6/6/2018 7:46:06 PM,0,0.0,0.0
6/6/2018 7:46:07 PM,0,0.1,0.0
6/6/2018 7:46:08 PM,0,0.0,0.0
6/6/2018 7:46:09 PM,0,0.1,0.0
6/6/2018 7:46:10 PM,32,0.0,0.0
6/6/2018 7:46:11 PM,32,0.0,-0.1
6/6/2018 7:46:12 PM,0,0.0,-0.1
6/6/2018 7:46:13 PM,-16,0.0,0.0
6/6/2018 7:46:14 PM,-16,0.0,-0.1
6/6/2018 7:46:15 PM,-16,0.0,0.0
6/6/2018 7:46:16 PM,16,0.1,0.0
6/6/2018 7:46:17 PM,16,0.0,0.0
6/6/2018 7:46:18 PM,0,0.0,0.0
6/6/2018 7:46:19 PM,15,0.0,0.0
6/6/2018 7:46:20 PM,16,0.0,-0.1
6/6/2018 7:46:21 PM,0,0.0,0.0
6/6/2018 7:46:22 PM,0,0.0,0.0
6/6/2018 7:46:23 PM,16,0.0,0.0
6/6/2018 7:46:24 PM,32,0.0,0.0
6/6/2018 7:46:25 PM,0,0.0,0.0
6/6/2018 7:46:26 PM,0,0.0,0.0
6/6/2018 7:46:27 PM,-16,0.0,0.1
6/6/2018 7:46:28 PM,16,0.0,0.0
6/6/2018 7:46:29 PM,0,0.0,-0.1
6/6/2018 7:46:30 PM,15,0.0,0.0
6/6/2018 7:46:31 PM,30,0.0,0.0
6/6/2018 7:46:32 PM,16,0.0,0.0
6/6/2018 7:46:33 PM,-13,0.0,0.0
6/6/2018 7:46:34 PM,0,0.0,0.0
6/6/2018 7:46:35 PM,96,0.0,0.0
6/6/2018 7:46:36 PM,96,0.0,0.0
6/6/2018 7:46:37 PM,66,0.0,0.0
6/6/2018 7:46:38 PM,35,0.0,0.0
6/6/2018 7:46:39 PM,96,0.0,0.0
6/6/2018 7:46:40 PM,52,0.0,0.0
6/6/2018 7:46:41 PM,-10,0.0,0.0
6/6/2018 7:46:42 PM,-45,0.0,-0.1
6/6/2018 7:46:43 PM,38,0.0,0.0
6/6/2018 7:46:44 PM,19,0.0,-0.1
6/6/2018 7:46:45 PM,30,0.0,0.0
6/6/2018 7:46:46 PM,0,0.0,0.0
6/6/2018 7:47:20 PM,875,0.0,-0.2
6/6/2018 7:47:21 PM,907,0.0,-0.1
